,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
10,10,2024-11-12,@,PHI,W,111,99,,44,89,.494,9,31,.290,35,58,.603,.545,14,15,.933,8,39,47,31,8,5,15,15,31,83,.373,14,42,.333,17,41,.415,.458,23,24,.958,9,31,40,19,10,6,15,20
11,11,2024-11-13,,CHI,L,123,124,,48,94,.511,15,37,.405,33,57,.579,.590,12,18,.667,10,30,40,31,7,3,15,17,44,82,.537,14,36,.389,30,46,.652,.622,22,27,.815,7,33,40,31,10,6,18,17
12,12,2024-11-15,,BRK,W,124,122,,44,83,.530,13,38,.342,31,45,.689,.608,23,28,.821,8,37,45,25,7,6,13,21,39,89,.438,19,46,.413,20,43,.465,.545,25,28,.893,10,27,37,27,8,2,9,22
13,13,2024-11-17,,BRK,W,114,104,,43,88,.489,13,40,.325,30,48,.625,.563,15,19,.789,10,37,47,33,4,5,8,23,32,76,.421,17,41,.415,15,35,.429,.533,23,30,.767,7,28,35,31,1,3,9,19
14,14,2024-11-18,,WAS,W,134,106,,51,91,.560,20,40,.500,31,51,.608,.670,12,13,.923,7,34,41,37,4,1,8,12,43,91,.473,11,33,.333,32,58,.552,.533,9,16,.563,12,29,41,23,5,3,10,19
15,15,2024-11-20,@,PHO,W,138,122,,50,86,.581,19,39,.487,31,47,.660,.692,19,21,.905,10,31,41,30,10,0,15,15,45,92,.489,19,50,.380,26,42,.619,.592,13,17,.765,11,23,34,30,9,2,14,16
16,16,2024-11-23,@,UTA,L,106,121,,39,100,.390,17,51,.333,22,49,.449,.475,11,12,.917,11,29,40,25,10,10,9,19,44,87,.506,19,34,.559,25,53,.472,.615,14,19,.737,9,43,52,30,4,4,18,19
17,17,2024-11-25,@,DEN,W,145,118,,56,92,.609,19,36,.528,37,56,.661,.712,14,16,.875,8,35,43,45,5,4,11,23,41,92,.446,11,33,.333,30,59,.508,.505,25,27,.926,10,23,33,23,5,3,11,18
18,18,2024-11-27,@,DAL,L,114,129,,40,86,.465,7,29,.241,33,57,.579,.506,27,30,.900,7,26,33,20,9,3,9,19,48,85,.565,17,33,.515,31,52,.596,.665,16,21,.762,10,33,43,27,6,4,13,25
19,19,2024-11-29,@,CHO,W,99,98,,36,81,.444,12,32,.375,24,49,.490,.519,15,19,.789,12,32,44,20,7,5,21,19,36,89,.404,15,47,.319,21,42,.500,.489,11,15,.733,14,25,39,25,8,6,15,19
20,20,2024-12-01,,NOP,W,118,85,,42,92,.457,20,45,.444,22,47,.468,.565,14,16,.875,14,46,60,30,10,9,17,14,35,94,.372,4,27,.148,31,67,.463,.394,11,17,.647,13,29,42,20,14,9,14,19
21,21,2024-12-03,,ORL,W,121,106,,43,85,.506,15,35,.429,28,50,.560,.594,20,20,1.000,5,34,39,30,6,4,19,25,38,87,.437,9,39,.231,29,48,.604,.489,21,25,.840,9,29,38,20,9,4,16,19
22,22,2024-12-05,,CHO,W,125,101,,41,76,.539,18,33,.545,23,43,.535,.658,25,32,.781,6,37,43,29,7,4,9,13,40,89,.449,15,39,.385,25,50,.500,.534,6,10,.600,10,30,40,27,3,4,11,22
23,23,2024-12-07,,DET,L,111,120,,42,79,.532,11,34,.324,31,45,.689,.601,16,27,.593,4,27,31,27,11,5,15,12,43,83,.518,18,36,.500,25,47,.532,.627,16,19,.842,9,34,43,28,7,0,19,20
24,24,2024-12-09,@,TOR,W,113,108,,42,82,.512,17,40,.425,25,42,.595,.616,12,19,.632,6,34,40,32,7,7,10,13,43,96,.448,13,35,.371,30,61,.492,.516,9,11,.818,17,34,51,23,4,4,13,16
25,25,2024-12-11,,ATL,L,100,108,,40,93,.430,11,42,.262,29,51,.569,.489,9,15,.600,12,37,49,27,8,11,15,14,43,104,.413,9,31,.290,34,73,.466,.457,13,20,.650,22,36,58,27,5,7,11,13
26,26,2024-12-15,@,ORL,W,100,91,,33,71,.465,10,24,.417,23,47,.489,.535,24,30,.800,7,38,45,20,8,3,19,16,36,86,.419,9,30,.300,27,56,.482,.471,10,13,.769,10,29,39,24,8,10,15,26
27,27,2024-12-19,@,MIN,W,133,107,,50,97,.515,20,45,.444,30,52,.577,.619,13,16,.813,16,41,57,39,10,2,15,12,41,89,.461,17,42,.405,24,47,.511,.556,8,13,.615,6,31,37,29,10,5,13,15
